Action Needed,institutionCode,catalogNumber,recordNumber,order,family,genus,scientificName,sex,recordedBy,eventDate,locality,decimalLatitude,decimalLongitude,verbatimElevationInMeters,DEMElevationInMeters,basisOfRecord,recordSource,county,residuals,percentDeviation
"Confirm ID - everything else seems right, may just be a slightly higher elevational record.",UAZ,UAZ 02420,267,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,M,S. Cross,2/2/1962,"1.3 mi. E Campbell Ave. on Skyline then 2 mi. N, Tucson, Santa Catalina foothills",32.351841,-110.906382,NA,1284,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
"Confirm ID - everything else seems right, may just be a slightly higher elevational record.",UAZ,UAZ 07860,BJH 1419,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,M,Bruce Hayward,9/24/1960,"Catalina Mtns., Upper Molino Basin, elev. 4000'",32.33556,-110.69583,1219.2,1333,PRESERVED_SPECIMEN,UAZ,Pima,109.291301,147.6328641
Confirm ID - only two S. floridanus vouchers from Santa Catalinas (this one and one at MMNH),UAZ,UAZ 28242,NA,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus,M,Warren Rook,11/6/1991,"Santa Catalina Mts., Oracle Control Rd., Crystal Springs",32.438374,-110.741104,NA,1966,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
"Confirm ID - everything else seems right, may just be a slightly higher elevational record.",UAZ,UAZ 17459,6,Rodentia,Cricetidae,Neotoma,Neotoma albigula,F,Gary Isaacs,10/8/1967,"Willow Canyon, Catalina Mts., North Tucson",32.38861,-110.69806,NA,2135,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
Confirm ID - possible P. boylii?,UAZ,UAZ 18901,8,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,M,H.L. Pitzer,10/25/1969,"26 mi. NE of Tucson, Willow Canyon Residential Area",32.38861,-110.69806,NA,2135,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
Confirm ID - possible P. boylii?,UAZ,UAZ 25768,7,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,M,E. Weintraub,9/22/1984,"Palisades Ranger Sta., .52 km south, Mt. Bigelow, T11S, R16E, 7920 ft.",32.406144,-110.71417,2414.016,2396,PRESERVED_SPECIMEN,UAZ,Pima,-22.08351886,29.83085671
"Verify coordinates AND ID - Current locality is on Soldier Canyon, not trail. Trailhead intersects with Mt. Lemmon hwy",UAZ,UAZ 14170,16,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,F,Alan Gubanich,NA,Soldiers Trail & Mt. Lemmon Hwy,32.304141,-110.74507,NA,880,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
Verify coordinates - seems too far north given locality,UAZ,UAZ 20835,18,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,M,E.M. Kasun,12/19/1969,"4.5 mi. above Ranger Station, Mt. Lemmon Rd., 1/2 mi. on Loma Linda turnoff, W of road, Mt. Lemmon",32.476135,-110.71417,NA,1563,PRESERVED_SPECIMEN,UAZ,Pima,NA,NA
No action needed,UAZ,UAZ 06199,2,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,M,W.D. Carrell,10/1/1957,"Sabino Canyon, 3100 ft.",32.322298,-110.809812,944.88,881,PRESERVED_SPECIMEN,UAZ,Pima,-68.48999039,92.51764188
Confirm ID - may just be a high elevation record,UMMZ,66353,220,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,NA,"Dice, L.",7/25/1932,8MI SE ORACLE,32.5287582,-110.6737482,NA,1281.723581,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Confirm ID - only record in the dataset,UMMZ,66360,111,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii,NA,"Dice, L.",7/10/1932,6MI SE ORACLE,32.5493575,-110.697949,1385.041799,1385.041799,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.447462726,6.007721149
Confirm ID - may just be a high elevation record,UWBM,UWBM:Mamm:51592,NA,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,NA,Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks,6/4/1951,Tucson; Mt. Lemmon highway; 8 mi E,32.3271641,-110.7019473,NA,1247.775398,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Confirm ID - may just be a high elevation record,UWBM,UWBM:Mamm:51593,NA,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,NA,Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks,6/4/1951,Tucson; Mt. Lemmon highway; 8 mi E,32.3271641,-110.7019473,NA,1247.775398,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,NA,NA
Confirm ID - only two records of this species and genus from this elevation,UWBM,UWBM:Mamm:51761,NA,Rodentia,Heteromyidae,Perognathus,Perognathus flavus,NA,Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks,5/24/1952,"Tucson, 14 mi ENE; Mt. Lemmon highway",32.3680628,-110.7059477,1735.179789,1735.179789,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.318175927,5.833077968
Confirm ID - only two records of this species and genus from this elevation,UWBM,UWBM:Mamm:51762,NA,Rodentia,Heteromyidae,Perognathus,Perognathus flavus,NA,Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks,5/24/1952,"Tucson, 14 mi ENE; Mt. Lemmon highway",32.3680628,-110.7059477,1735.179789,1735.179789,PRESERVED_SPECIMEN,non-UAZ pre-2021,NA,-4.318175927,5.833077968
