locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,uncertainty radius (circular polygon),Museum,Museum Abbreviation,Catalog Number,Special Collections,Kind of Object,Specimen Count,scientificname,Current Identification,Other Identifications,Name Hierarchy,Order,Family,Type Status,Type Citations,Date Collected,Ocean,Sea/Gulf,Bay/Sound,Island Name,Elevation (m),Collector(s),Other Numbers (Type: Value),Sex/Stage,Preparation Details (Preparation:Remarks),Microhabitat Description,Reproductive Condition,Progeny Details,Measurements,Stomach Contents,Collection Method,Number of Individuals,Sexual Maturity,Physical Maturity,Specimen Condition,Injury,Parasite,Bibliography,Notes,Genetic Sample Type,Biorepository Number,Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Depleted?,Record Last Modified,EZID
"Santa Catalina Mts., Bear Wallow camp area",United States,Arizona,Pima,32.424242,-110.739816,yes,Medium(69),,"32.460902,-110.740659,(g3)Santa Catalina Mts.|Unavailable|17132|Medium(69),32.424242,-110.739816,BEAR WALLOW|Unavailable|9036|Low(41),32.4167,-110.7333,BEAR WALLOW|Unavailable|9036|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",9036 m,,,USNM,309013,,Specimen/Lot,1,Sciurus aberti,Sciurus aberti aberti,,Sciurus aberti aberti : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,4/2/1959,,,,,2438,"Bradshaw, G. V.",Mammals Field Number: 1633,Male,Mounted skin,,,,,,,,,,,,,,,,,,,,,,3/30/2020 15:54,http://n2t.net/ark:/65665/3716b215d-b66d-4ff5-9aca-053ae68fdcf9
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima,32.428012,-110.745537,yes,Low(42),,"32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42)",301 m,,,USNM,570699,Biological Survey Specimen,Specimen/Lot,1,Myotis keenii,Myotis keenii,Myotis auriculus apache,Myotis keenii : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/18/1959,,,,,,"Musgrove, B. F.",Mammals Field Number: BFM 613,Female,Skin; Skull,,,,Total Length: 95mm; Tail Length: 45mm; Hind Tarsus Length: 11mm; Ear Notch Length: 21mm; Tragus Length: 12.5mm,,,,,,,,,,,,,,,,,,7/15/2020 19:08,http://n2t.net/ark:/65665/3f1814559-a9e5-4dda-9da5-b05fa72bb484
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima,32.42783,-110.74558,yes,Low(42),,"32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42)",301 m,,,USNM,570700,Biological Survey Specimen,Specimen/Lot,1,Myotis keenii,Myotis keenii,Myotis auriculus apache,Myotis keenii : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/18/1959,,,,,,"Musgrove, B. F.",Mammals Field Number: BFM 609,Female,Skin; Skull,,,,Total Length: 91mm; Tail Length: 44mm; Hind Tarsus Length: 10mm; Ear Notch Length: 20mm; Tragus Length: 12mm,,,,,,,,,,,,,,,,,,7/15/2020 19:08,http://n2t.net/ark:/65665/389fb191f-b328-4f83-9287-a81c1aebaca5
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima,32.428193,-110.745708,yes,Low(42),,"32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42)",301 m,,,USNM,570634,Biological Survey Specimen,Specimen/Lot,1,Myotis volans,Myotis volans interior,,Myotis volans interior : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/18/1959,,,,,,"Musgrove, B. F.",Mammals Field Number: BFM 608,Female,Skin; Skull,,,,Total Length: 100mm; Tail Length: 47mm; Hind Tarsus Length: 10mm; Ear Notch Length: 14mm; Tragus Length: 9mm,,,,,,,,,,,,,,,,,,7/15/2020 19:08,http://n2t.net/ark:/65665/390516160-c130-4b71-8277-a0f0dea9aca4
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima,32.427903,-110.745494,yes,Low(42),,"32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42)",301 m,,,USNM,570635,Biological Survey Specimen,Specimen/Lot,1,Myotis volans,Myotis volans interior,,Myotis volans interior : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/18/1959,,,,,,"Musgrove, B. F.",Mammals Field Number: BFM 611,Female,Skin; Skull,,,,Total Length: 101mm; Tail Length: 48mm; Hind Tarsus Length: 10mm; Ear Notch Length: 14mm; Tragus Length: 8mm,,,,,,,,,,,,,,,,,,7/15/2020 19:08,http://n2t.net/ark:/65665/3a5e1d486-a45a-4ddb-a73c-921ac5cf3fb9
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima,32.428084,-110.74588,yes,Low(42),,"32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42)",301 m,,,USNM,570661,Biological Survey Specimen,Specimen/Lot,1,Myotis volans,Myotis volans interior,,Myotis volans interior : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/18/1959,,,,,,"Musgrove, B. F.",Mammals Field Number: BFM 612,Female,Skin; Skull,,,,Total Length: 91mm; Tail Length: 44mm; Hind Tarsus Length: 9mm; Ear Notch Length: 14mm; Tragus Length: 8mm,,,,,,,,,,,,,,,,,,7/15/2020 19:08,http://n2t.net/ark:/65665/38234a272-8e80-4ce1-aeee-a56a4bc37c48
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima,32.428012,-110.745751,yes,Low(42),,"32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42)",301 m,,,USNM,570678,Biological Survey Specimen,Specimen/Lot,1,Myotis volans,Myotis volans interior,,Myotis volans interior : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/18/1959,,,,,,"Musgrove, B. F.",Mammals Field Number: BFM 610,Female,Skin; Skull,,,,Total Length: 98mm; Tail Length: 45mm; Hind Tarsus Length: 9mm; Ear Notch Length: 14mm; Tragus Length: 9mm,,,,,,,,,,,,,,,,,,7/15/2020 19:08,http://n2t.net/ark:/65665/30cea1cac-f5ed-4721-9594-a758af5357b0
"Santa Catalina Mountains, Oracle Control Road, Crystal Springs",United States,Arizona,Pima,32.458674,-110.750382,no,Medium(74),,"32.458674,-110.750382,(g3)Santa Catalina Mountains|Unavailable|18212|Medium(74),32.430353,-110.70537,SANTA CATALINA MOUNTAINS|Unavailable|301|Low(54),32.4167,-110.7,SANTA CATALINA MOUNTAINS|Unavailable|301|Low(54),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38),32.438374,-110.741104,CRYSTAL SPRING|Unavailable|90|Low(31),32.4333,-110.7333,CRYSTAL SPRING|Unavailable|90|Low(31)",18212,,,USNM,601493,Biological Survey Specimen,Specimen/Lot,1,Neotamias dorsalis,Neotamias dorsalis dorsalis,,Tamias dorsalis dorsalis : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,11/6/1991,,,,,,"Crossin, R.",Mammals Field Number: WB 6893,Female,Skin; Skull,Pine - Oak,,,Total Length: 222mm; Tail Length: 90mm; Hind Tarsus Length: 30mm; Ear Notch Length: 18mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3c5829e8d-4f03-4ebc-a076-790e87dba9b1
"Summerhaven, Santa Catalina Mountains",United States,Arizona,Pima,32.438687,-110.759817,yes,Medium(74),,"32.458674,-110.750382,(g3)Santa Catalina Mountains|Unavailable|18212|Medium(74),32.430353,-110.70537,SANTA CATALINA MOUNTAINS|Unavailable|301|Low(54),32.4167,-110.7,SANTA CATALINA MOUNTAINS|Unavailable|301|Low(54),32.438687,-110.759817,SUMMERHAVEN|Unavailable|301|Low(41),32.4333,-110.75,SUMMERHAVEN|Unavailable|301|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",18212,,,USNM,244081,Types,Specimen/Lot,1,Thomomys bottae,Thomomys bottae catalinae,"Thomomys fulvus catalinae Goldman, 1931",Thomomys bottae catalinae : Geomyidae : Rodentia : Mammalia : Chordata,Rodentia,Geomyidae,Type,"Goldman, E. A. 1931 Oct 19. Journal of the Washington Academy of Sciences. 21: 419.",8/6/1923,,,,,2286,"Goldman, E. A.",Mammals Field Number: 23517,Male : Adult,Skin; Skull,,,,Total Length: 218mm; Tail Length: 65mm; Hind Tarsus Length: 31mm,,,,,,,,,"Fisher, R. D. & Ludwig, C. A. 2012 Oct 23. Catalog of type specimens of recent mammals: Rodentia (Sciuromorpha and Castorimorpha) in the National Museum of Natural History, Smithsonian Institution. Smithsonian Contributions to Zoology. 640: 1-97.",,,,,,,,,4/8/2020 16:00,http://n2t.net/ark:/65665/322614b61-5749-48cf-9274-dd2e5ba10f1f
N. Campbell Ave and Santa Catalina Mts.,United States,Arizona,Pima,32.336848,-110.926694,yes,Medium(69),,"32.460902,-110.740659,(g3)Santa Catalina Mts.|Unavailable|17132|Medium(69),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|Unavailable|Low(39),32.5,-110.9167,CATALINA|Unavailable|Unavailable|Low(38)",17132,,,USNM,600337,Biological Survey Specimen,Specimen/Lot,1,Choeronycteris mexicana,Choeronycteris mexicana,,Choeronycteris mexicana : Phyllostomidae : Chiroptera : Mammalia : Chordata,Chiroptera,Phyllostomidae,,,8/15/1965,,,,,,,Mammals Field Number: WB 338,Male,Skin; Skull,,,,Specimen Weight: 5g; Total Length: 83mm; Tail Length: 10mm; Hind Tarsus Length: 10mm; Ear Notch Length: 14mm,,,,,,,,,,,,,,,,,,8/30/2021 18:37,http://n2t.net/ark:/65665/33637d41e-0b01-4a32-ae5f-c17476481b7e
"Santa Catalina Mts., Mt. Lemmon, Oracle Control Rd.",United States,Arizona,Pima,32.448662,-110.754649,yes,Medium(69),,"32.460902,-110.740659,(g3)Santa Catalina Mts.|Unavailable|17132|Medium(69),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",17132,,,USNM,602087,Biological Survey Specimen,Specimen/Lot,1,Sciurus aberti,Sciurus aberti aberti,,Sciurus aberti aberti : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,11/6/1991,,,,,,"Rook, W.",Mammals Field Number: WB 6647,Female,Skin; Skull,,,,Total Length: 495mm; Tail Length: 230mm; Hind Tarsus Length: 70mm; Ear Notch Length: 45mm,,,,,,,,,,,,,,,,,,8/23/2017 18:29,http://n2t.net/ark:/65665/360ba884f-e23f-4fdf-a04d-3bcf2974e18d
"Santa Catalina Mts., Mt. Lemmon, Oracle Control Rd.",United States,Arizona,Pima,32.446996,-110.759198,yes,Medium(69),,"32.460902,-110.740659,(g3)Santa Catalina Mts.|Unavailable|17132|Medium(69),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",17132,,,USNM,602088,Biological Survey Specimen,Specimen/Lot,1,Sciurus arizonensis,Sciurus arizonensis catalinae,,Sciurus arizonensis catalinae : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,11/10/1992,,,,,,"Rook, W.",Mammals Field Number: WB 6842,Female,Skin; Skull,,Mammae   Post-lactating,,Specimen Weight: 722g; Total Length: 530mm; Tail Length: 270mm; Hind Tarsus Length: 70mm; Ear Notch Length: 30mm,,,,,,,,,,Pine-oak-deciduous canyon,,,,,,,,8/23/2017 18:29,http://n2t.net/ark:/65665/371a5dafe-3d2b-4ace-ae28-f05dd820a0f6
"Santa Catalina Mts., Mt. Lemmon, Oracle Control Rd.",United States,Arizona,Pima,32.450763,-110.754392,yes,Medium(69),,"32.460902,-110.740659,(g3)Santa Catalina Mts.|Unavailable|17132|Medium(69),32.4333,-110.7833,MOUNT LEMMON|Unavailable|301|Low(42),32.443131,-110.78843,MOUNT LEMMON|Unavailable|1807|Low(42),32.4333,-110.75,MOUNT LEMMON|Unavailable|301|Low(42),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",17132,,,USNM,602089,Biological Survey Specimen,Specimen/Lot,1,Sciurus arizonensis,Sciurus arizonensis catalinae,,Sciurus arizonensis catalinae : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,11/10/1992,,,,,,"Rook, W.",Mammals Field Number: WB 6843,Female,Skin; Skull,,Mammae   Post-lactating,,Specimen Weight: 696g; Total Length: 520mm; Tail Length: 250mm; Hind Tarsus Length: 68mm; Ear Notch Length: 35mm,,,,,,,,,,Pine-oak-deciduous canyon,,,,,,,,8/23/2017 18:29,http://n2t.net/ark:/65665/3ff082f19-5bd6-4e2a-afb2-b3446b56a03e
"5 mi SW of Oracle, Rt 77 and Willow Springs Road",United States,Arizona,Pinal,32.559584,-110.831844,no,High(82),,"32.559584,-110.831844,Distance SouthWest of ORACLE|AZ:ppl:974@PPL@5@225|7876|High(82),32.548678,-110.827602,Distance SouthWest of ORACLE|Unavailable|3980|High(81),32.665379,-110.927681,Distance SouthWest of %WILLOW SPRINGS%|Unavailable|3850|Medium(47),32.665589,-110.929801,Distance SouthWest of %WILLOW SPRINGS%|Unavailable|3850|Medium(47),33.059052,-110.534719,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33),33.380816,-111.453866,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33),33.048682,-110.527941,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33),33.398685,-111.178184,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33)",7876,,,USNM,602482,Biological Survey Specimen,Specimen/Lot,1,Chaetodipus baileyi,Chaetodipus baileyi baileyi,,Chaetodipus baileyi baileyi : Heteromyidae : Rodentia : Mammalia : Chordata,Rodentia,Heteromyidae,,,1/5/2001,,,,,,,Mammals Field Number: WB 8168,Female,Skin; Skull,chapparal,,,Total Length: 215mm; Tail Length: 114mm; Hind Tarsus Length: 28mm; Ear Notch Length: 9mm,,,,,,,,,,,,,,,,,,10/5/2016 18:38,http://n2t.net/ark:/65665/3ac420763-df31-4fba-ba80-35eb2908999a
"5 mi SW of Oracle, Rt. 27 and Willow Springs Road",United States,Arizona,Pinal,32.559584,-110.831844,no,High(82),,"32.559584,-110.831844,Distance SouthWest of ORACLE|AZ:ppl:974@PPL@5@225|7876|High(82),32.548678,-110.827602,Distance SouthWest of ORACLE|Unavailable|3980|High(81),32.665379,-110.927681,Distance SouthWest of %WILLOW SPRINGS%|Unavailable|3850|Medium(47),32.665589,-110.929801,Distance SouthWest of %WILLOW SPRINGS%|Unavailable|3850|Medium(47),33.059052,-110.534719,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33),33.380816,-111.453866,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33),33.048682,-110.527941,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33),33.398685,-111.178184,Distance SouthWest of %WILLOW SPRING%|Unavailable|3850|Medium(33)",7876,,,USNM,600028,Biological Survey Specimen,Specimen/Lot,1,Neotoma albigula,Neotoma albigula albigula,,Neotoma albigula albigula : Cricetidae : Rodentia : Mammalia : Chordata,Rodentia,Cricetidae,,,1/6/2001,,,,,,"Bulmer, W.",Mammals Field Number: WB 8050,Female,Skin; Skull,,,,Total Length: 320mm; Tail Length: 140mm; Hind Tarsus Length: 35mm; Ear Notch Length: 30mm,,,,,,,,,,"Mesquite/grass, caught in D. Spectabilis mound",,,,,,,,8/30/2021 18:30,http://n2t.net/ark:/65665/370e2db32-6923-4a5e-97d7-741c269da4c1
"Oracle, 3 Mi S, 6 Mi W",United States,Arizona,Pinal,32.567328,-110.874252,no,High(82),,"32.567328,-110.874252,Distance SOUTH of  then WEST of ORACLE|Unavailable|10206|High(82),32.556422,-110.870005,Distance SOUTH of  then WEST of ORACLE|Unavailable|6536|High(81)",10206,,,USNM,313857,,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,15 Jan 1855,,,,,1311,"Greenwalt, L. A.",Mammals Field Number: No Number,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,3/27/2020 19:28,http://n2t.net/ark:/65665/3ef8ac707-72df-489a-9277-36930fc32aaf
"Oracle, Near, Linda Vista Ranch",United States,Arizona,Pinal,32.603471,-110.794337,yes,Low(37),,"32.610905,-110.770935,ORACLE|AZ:ppl:974@PPL|5028|Low(37),32.6,-110.7667,ORACLE|Unavailable|301|Low(36)",301 m,,,USNM,313860,,Specimen/Lot,1,Otospermophilus variegatus,Otospermophilus variegatus grammurus,Spermophilus variegatus grammurus,Otospermophilus variegatus grammurus : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,12/31/1955,,,,,,"Kennedy, C. E.",Mammals Field Number: 107,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,3/27/2020 19:28,http://n2t.net/ark:/65665/35ef930d6-8c81-45bc-90ad-937540b8baa0
