locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,uncertainty radius (circular polygon),Museum,Museum Abbreviation,Catalog Number,Special Collections,Kind of Object,Specimen Count,scientificname,Current Identification,Other Identifications,Name Hierarchy,Order,Family,Type Status,Type Citations,Date Collected,Ocean,Sea/Gulf,Bay/Sound,Island Name,Elevation (m),Collector(s),Other Numbers (Type: Value),Sex/Stage,Preparation Details (Preparation:Remarks),Microhabitat Description,Reproductive Condition,Progeny Details,Measurements,Stomach Contents,Collection Method,Number of Individuals,Sexual Maturity,Physical Maturity,Specimen Condition,Injury,Parasite,Bibliography,Notes,Genetic Sample Type,Biorepository Number,Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Depleted?,Record Last Modified,EZID
9 mi N Tucson,United States,Arizona,Pima,32.352358,-110.926479,no,High(82),,"32.352358,-110.926479,Distance North of TUCSON|AZ:ppl:1068@PPL@9@0|34643|High(82),32.347315,-110.9167,Distance North of TUCSON|Unavailable|11945|High(81)",34643,,,USNM,293416,,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,4/16/1930,,,,,,"Dice, L. R.",Mammals Field Number: 185/61741,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,4/1/2020 14:52,http://n2t.net/ark:/65665/37398322a-a55b-4389-b2e3-61a680b913a0
"Santa Catalina and Rincon Mountains, top of pass between, along highway, [25 mi ENE of Tucson (see Miller and Kellogg 1955)]",United States,Arizona,Pima,32.354925,-110.520499,yes,High(82),,"32.359968,-110.530256,Distance ENE of TUCSON|AZ:ppl:1068@PPL@25@67.5|30648|High(82),32.354925,-110.520499,Distance ENE of TUCSON|Unavailable|8293|High(81),32.132022,-110.519523,RINCON MOUNTAINS|Unavailable|301|Low(46),32.1167,-110.5167,RINCON MOUNTAINS|Unavailable|301|Low(46),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38),32.076184,-111.917905,RINCON|Unavailable|301|Low(36)",30648,,,USNM,262813,Types,Specimen/Lot,1,Thomomys bottae,Thomomys bottae catalinae,"Thomomys bottae parvulus Goldman, 1938",Thomomys bottae catalinae : Geomyidae : Rodentia : Mammalia : Chordata,Rodentia,Geomyidae,Type,"Goldman, E. A. 1938 Jul 15. Journal of the Washington Academy of Sciences. 28: 339.",6/5/1937,,,,,1372,"Goldman, L. C.",Mammals Field Number: 213,Male : Adult,Skin; Skull,lower edge of oaks,,,Total Length: 200mm; Tail Length: 45mm; Hind Tarsus Length: 26mm,,,,,,,,,"Miller, G. S. & Kellogg, R. 1955. United States National Museum Bulletin. 205: 292. Fisher, R. D. & Ludwig, C. A. 2012 Oct 23. Catalog of type specimens of recent mammals: Rodentia (Sciuromorpha and Castorimorpha) in the National Museum of Natural History, Smithsonian Institution. Smithsonian Contributions to Zoology. 640: 1-97.",,,,,,,,,4/6/2020 16:43,http://n2t.net/ark:/65665/316290f1a-4943-467d-8907-24ed0098efb3
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601282,Biological Survey Specimen,Specimen/Lot,1,Corynorhinus townsendii,Corynorhinus townsendii pallescens,,Corynorhinus townsendii pallescens : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 212,Female,Skin; Skull,,,,Specimen Weight: 9.5g; Total Length: 94mm; Tail Length: 55mm; Hind Tarsus Length: 10mm; Ear Notch Length: 33mm; Tragus Length: 14mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3a8306a57-794e-4903-bbcb-69d9daef7453
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601269,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 213,Female,Skin; Skull,,,,Specimen Weight: 9.2g; Total Length: 92mm; Tail Length: 45mm; Hind Tarsus Length: 10mm; Ear Notch Length: 20mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3477228bc-d1eb-4100-b95f-ea8344382d7a
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601270,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 214,Female,Skin; Skull,,,,Specimen Weight: 7.2g; Total Length: 89mm; Tail Length: 37mm; Hind Tarsus Length: 10mm; Ear Notch Length: 19mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/34addaf8c-03ce-474f-ab4c-49596715a3bc
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601271,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 215,Female,Skin; Skull,,,1 embryo 18 mm right side,Specimen Weight: 8.8g; Total Length: 89mm; Tail Length: 46mm; Hind Tarsus Length: 9mm; Ear Notch Length: 19mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3d53f46a8-a6f0-4b6e-bdb1-b0b669642c5c
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601272,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 216,Female,Skin; Skull,,,1 embryo 18 mm,Specimen Weight: 8.1g; Total Length: 94mm; Tail Length: 46mm; Hind Tarsus Length: 10mm; Ear Notch Length: 19mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3a9dacda8-da30-4232-a6cc-4bfa0f45fadf
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601273,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 217,Male,Skin; Skull,,,,Specimen Weight: 6.4g; Total Length: 95mm; Tail Length: 45mm; Hind Tarsus Length: 10mm; Ear Notch Length: 20mm; Tragus Length: 11mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/37d97f59c-ca8b-4396-b19c-d31802ee23f6
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601483,Biological Survey Specimen,Specimen/Lot,1,Peromyscus maniculatus,Peromyscus maniculatus sonoriensis,,Peromyscus maniculatus sonoriensis : Cricetidae : Rodentia : Mammalia : Chordata,Rodentia,Cricetidae,,,5/27/1965,,,,,2438,,Mammals Field Number: WB 175,Male,Skin; Skull,,,,Total Length: 129mm; Tail Length: 57mm; Hind Tarsus Length: 19mm; Ear Notch Length: 14mm,,,,,,,,,,,,,,,,,,8/23/2017 18:29,http://n2t.net/ark:/65665/3c1e00f0a-eed4-4faa-9d13-d91bd0b7c2d8
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601407,Biological Survey Specimen,Specimen/Lot,1,Neotamias dorsalis,Neotamias dorsalis dorsalis,,Tamias dorsalis dorsalis : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,6/21/1965,,,,,2499,,Mammals Field Number: WB 224,Male,Skin; Skull,,,,Total Length: 190mm; Tail Length: 90mm; Hind Tarsus Length: 30mm; Ear Notch Length: 17mm,,,,,,,,,,,,,,,,,,8/23/2017 18:29,http://n2t.net/ark:/65665/3c361c6dc-18f2-4336-bdf1-6ffc5933de4a
"Santa Catalina Mts., Bear Wallow camp area",United States,Arizona,Pima,32.424242,-110.739816,yes,Medium(69),,"32.460902,-110.740659,(g3)Santa Catalina Mts.|Unavailable|17132|Medium(69),32.424242,-110.739816,BEAR WALLOW|Unavailable|9036|Low(41),32.4167,-110.7333,BEAR WALLOW|Unavailable|9036|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",9036 m,,,USNM,309012,,Specimen/Lot,1,Sciurus aberti,Sciurus aberti aberti,,Sciurus aberti aberti : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,4/12/1959,,,,,2438,"Bradshaw, G. V.",Mammals Field Number: 1635,Male,Mounted skin,,,,,,,,,,,,,,,,,,,,,,3/30/2020 15:54,http://n2t.net/ark:/65665/3ae6f061c-0f99-4c1d-8215-4ff7f7abf1f3
