"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","basisOfRecord","recordSource","county","residuals","percentDeviation"
"12","ASU","ASUVTC002323","Rodentia","Cricetidae","Neotoma","Neotoma albigula","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie","NSU0139",2023-07-02,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4491689999999,-110.737905,2071,2087.57104719362,"MATERIAL_SAMPLE","ASU post-2020",NA,12.3768712940371,16.7189240273822
"13","ASU","ASUVTC002180","Rodentia","Cricetidae","Neotoma","Neotoma albigula","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie","NSU0139",2023-07-02,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4491689999999,-110.737905,2071,2087.57104719362,"MATERIAL_SAMPLE","ASU post-2020",NA,12.3768712940371,16.7189240273822
"14","MCZ","6481","Carnivora","Mephitidae","Spilogale","Spilogale putorius",NA,"William E. D. Scott",NA,1884-10-05,"Santa Catalina Mountains",32.44401,-110.78601,NA,2720.077405,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"15","LSUMZ","10127","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Dewell",NA,1964-05-28,"Santa Catalina Mts., Upper Sabino Canyon",32.416061,-110.78445,NA,2184.857197,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"16","LSUMZ","10126","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Dewell",NA,1964-05-28,"Santa Catalina Mts., Upper Sabino Canyon",32.416061,-110.78445,NA,2184.857197,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"17","KU","51756","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"HEINRICH G H",NA,1952-12-15,"MOLINO BASIN; S SLOPE OF SANTA CATALINA MTS",32.3356639,-110.6962472,NA,1331.552296,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"18","MMNH","6923","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus floridanus",NA,"HAYWARD, B J",NA,1958-06-10,"20 MI NE U OF AZ (TUCSON), MOLINA BASIN, CATALINA MTS.",32.3356639,-110.6962472,NA,1331.552296,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"19","UMMZ","66353","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Dice, L.","220",1932-07-25,"8MI SE ORACLE",32.5287582,-110.6737482,NA,1281.723581,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"20","UWBM","UWBM:Mamm:51592","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks",NA,1951-06-04,"Tucson; Mt. Lemmon highway; 8 mi E",32.3271641,-110.7019473,NA,1247.775398,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"21","UWBM","UWBM:Mamm:51593","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks",NA,1951-06-04,"Tucson; Mt. Lemmon highway; 8 mi E",32.3271641,-110.7019473,NA,1247.775398,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"22","FMNH","52858","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7344",1942-01-29,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"23","FMNH","52857","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7340",1942-01-28,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"24","FMNH","52847","Rodentia","Cricetidae","Peromyscus","Peromyscus eremicus",NA,"W. H. Osgood","WHO-7350",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"25","FMNH","52846","Rodentia","Cricetidae","Peromyscus","Peromyscus eremicus",NA,"W. H. Osgood","WHO-7349",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
