"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","preparations","habitat","burnStatus","basisOfRecord","recordSource","county","residuals","percentDeviation"
"19","iNaturalist","9950218","Rodentia","Sciuridae","Otospermophilus","Otospermophilus variegatus",NA,"Kevin Fistanic",NA,2018-02-17,NA,32.323606,-110.807805,855.0575931,855.0575931,NA,NA,NA,"HUMAN_OBSERVATION","non-UAZ pre-2021",NA,-4.67041435093773,4.69231982352228
"20","iNaturalist","2305114","Rodentia","Sciuridae","Otospermophilus","Otospermophilus variegatus",NA,"Alan Dahl",NA,2015-04-25,NA,32.404556,-110.925734,930.0263762,930.0263762,NA,NA,NA,"HUMAN_OBSERVATION","non-UAZ pre-2021",NA,-4.23220138033052,4.25205151874287
"21","KU","51756","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"HEINRICH G H",NA,1952-12-15,"MOLINO BASIN; S SLOPE OF SANTA CATALINA MTS",32.3356639,-110.6962472,NA,1331.552296,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"22","UWBM","UWBM:Mamm:51761","Rodentia","Heteromyidae","Perognathus","Perognathus flavus",NA,"Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks",NA,1952-05-24,"Tucson, 14 mi ENE; Mt. Lemmon highway",32.3680628,-110.7059477,1735.179789,1735.179789,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,0.4741397689837,0.476363609296418
"23","UWBM","UWBM:Mamm:51762","Rodentia","Heteromyidae","Perognathus","Perognathus flavus",NA,"Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks",NA,1952-05-24,"Tucson, 14 mi ENE; Mt. Lemmon highway",32.3680628,-110.7059477,1735.179789,1735.179789,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,0.4741397689837,0.476363609296418
"24","ROM","28932","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus",NA,"Munro, JA","2193",1951-01-29,"7.5 mi SW of Oracle, Highway 77",32.6,-110.766667,1428.000001,1428.000001,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-1.3214098163736,1.3276075762147
"25","ROM","28933","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus",NA,"Munro, JA","2194",1951-01-29,"7.5 mi SW of Oracle, Highway 77",32.6,-110.766667,1428.000001,1428.000001,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-1.3214098163736,1.3276075762147
"26","LSUMZ","10127","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Dewell",NA,1964-05-28,"Santa Catalina Mts., Upper Sabino Canyon",32.416061,-110.78445,NA,2184.857197,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"27","LSUMZ","10126","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Dewell",NA,1964-05-28,"Santa Catalina Mts., Upper Sabino Canyon",32.416061,-110.78445,NA,2184.857197,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"28","UWBM","UWBM:Mamm:51592","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks",NA,1951-06-04,"Tucson; Mt. Lemmon highway; 8 mi E",32.3271641,-110.7019473,NA,1247.775398,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
