"","scientificName","min.hist","max.hist","min.rec","max.rec","min.ext","max.ext","elev.diff.min","elev.diff.max"
"1","Chaetodipus intermedius",902.9966033,1331.552296,1148.51052969064,1537.92559880466,FALSE,TRUE,-245.51392639064,206.37330280466
"2","Neotoma albigula",838,1967.529955,1147.84401713932,2087.57104719362,FALSE,TRUE,-309.84401713932,120.04109219362
"3","Neotoma mexicana",1922,2742,2064.60485516415,2790.81240623241,FALSE,TRUE,-142.60485516415,48.81240623241
"4","Peromyscus boylii",865,2412.659646,1325.02390841926,2423.72876005865,FALSE,TRUE,-460.02390841926,11.06911405865
"5","Chaetodipus baileyi",845,1432,1167.01799780828,1480.37335238581,FALSE,TRUE,-322.01799780828,48.37335238581
"6","Sigmodon ochrognathus",1383.159999,2171,1173.57383007617,2094.17199981343,TRUE,FALSE,209.58616892383,-76.8280001865701
"7","Sorex monticolus",2339,2395,2788.9607982726,2788.9607982726,FALSE,TRUE,-449.9607982726,393.9607982726
"8","Reithrodontomys megalotis",2384,2384,2063.62823593734,2423.4422780721,TRUE,TRUE,320.37176406266,39.4422780721002
