UAZ_NUMBER,DEMElevationInMeters
UAZ 16295,2395
UAZ 16829,2395
UAZ 16920,1423
UAZ 16941,1277
UAZ 16949,2384
UAZ 16951,1423
UAZ 16975,1277
UAZ 16987,1423
UAZ 17028,865
UAZ 17074,1531
UAZ 17398,2244
UAZ 17435,1816
UAZ 17542,862
UAZ 17552,2384
UAZ 17553,2384
UAZ 17558,865
UAZ 17783,1365
UAZ 18279,1260
UAZ 18305,1260
UAZ 18785,2424
UAZ 18787,2459
UAZ 18789,2383
UAZ 18809,1847
UAZ 18814,2122
UAZ 18828,2127
UAZ 18845,2395
UAZ 18846,2395
UAZ 18901,2135
UAZ 18919,2134
UAZ 18921,1835
UAZ 18922,2697
UAZ 18931,1847
UAZ 18940,1996
UAZ 18956,2127
UAZ 18999,2383
UAZ 19179,2395
UAZ 19180,2395
UAZ 19182,1575
UAZ 19240,1018
UAZ 19264,1316
UAZ 19265,1725
UAZ 19266,1858
UAZ 19267,1441
UAZ 19268,1575
UAZ 19269,1575
UAZ 19270,1575
UAZ 19271,2076
UAZ 19351,2424
UAZ 19352,1575
UAZ 19354,2127
UAZ 19771,2352
UAZ 19772,1835
UAZ 19784,1303
UAZ 20832,2395
UAZ 20835,1563
UAZ 21056,2395
UAZ 21057,2395
UAZ 21061,2395
UAZ 21062,2395
UAZ 21063,2395
UAZ 21135,871
UAZ 21175,994
UAZ 21220,864
UAZ 21269,872
UAZ 22257,2169
UAZ 22309,2356
UAZ 22310,2356
UAZ 22639,2274
UAZ 22771,994
UAZ 22826,2068
UAZ 22994,949
UAZ 23322,2171
UAZ 24621,1876
UAZ 24654,870
UAZ 24680,1333
UAZ 24686,1708
UAZ 24781,2112
UAZ 24902,2384
UAZ 25177,2112
UAZ 25207,1018
UAZ 25226,2198
UAZ 25241,901
UAZ 25242,901
UAZ 25243,885
UAZ 25246,2396
UAZ 25264,2388
UAZ 25535,1105
UAZ 25543,1858
UAZ 25552,1851
UAZ 25599,949
UAZ 25628,949
UAZ 25629,949
UAZ 25630,949
UAZ 25631,949
UAZ 25632,949
UAZ 25633,949
UAZ 25634,949
UAZ 25635,949
UAZ 25636,949
UAZ 25666,2384
UAZ 25684,1018
UAZ 25706,861
UAZ 25719,1018
UAZ 25720,861
UAZ 25738,900
UAZ 25749,1018
UAZ 25750,1018
UAZ 25759,1018
UAZ 25768,2396
UAZ 25772,1376
UAZ 25773,1376
UAZ 25774,1376
UAZ 25793,2128
UAZ 25794,1637
UAZ 25902,1433
UAZ 25940,1351
UAZ 25986,2002
UAZ 25987,1368
UAZ 25988,2002
UAZ 26028,1366
UAZ 26169,1851
UAZ 26188,1323
UAZ 26189,1323
UAZ 26221,1319
UAZ 26222,1268
UAZ 26301,2394
UAZ 26302,901
UAZ 26489,2459
UAZ 26533,1230
UAZ 26536,1323
UAZ 26537,1323
UAZ 26543,987
UAZ 27080,2405
UAZ 27122,2112
UAZ 27269,2449
UAZ 27284,2449
UAZ 28184,1966
UAZ 28185,1966
UAZ 28242,1966
UAZ 00452,2339
UAZ 00457,2339
UAZ 00468,2339
UAZ 00469,2339
UAZ 00489,2339
UAZ 00490,2339
UAZ 00491,2339
UAZ 00492,2339
UAZ 00493,2339
UAZ 00627,2339
UAZ 00628,2339
UAZ 00629,2339
UAZ 00757,881
UAZ 00779,2339
UAZ 00831,2339
UAZ 00832,2339
UAZ 00833,2339
UAZ 00834,2339
UAZ 00835,2339
UAZ 00836,2339
UAZ 00837,2339
UAZ 00838,2339
UAZ 00839,2339
UAZ 00987,1333
UAZ 01037,1333
UAZ 01038,1333
UAZ 01058,865
UAZ 01284,1432
UAZ 01286,1441
UAZ 01287,1441
UAZ 01308,1441
UAZ 01315,1441
UAZ 01341,1432
UAZ 01378,1333
UAZ 01395,1333
UAZ 01396,1333
UAZ 01787,881
UAZ 01788,881
UAZ 01789,881
UAZ 02143,881
UAZ 02144,881
UAZ 02360,881
UAZ 02367,881
UAZ 02386,881
UAZ 02387,881
UAZ 02388,881
UAZ 02389,881
UAZ 02390,881
UAZ 02855,1333
UAZ 02856,1333
UAZ 02963,881
UAZ 03077,881
UAZ 03533,1333
UAZ 03534,1333
UAZ 03601,881
UAZ 03602,881
UAZ 03768,865
UAZ 03769,865
UAZ 03770,865
UAZ 05147,881
UAZ 05148,881
UAZ 05150,881
UAZ 05208,1432
UAZ 05265,881
UAZ 05266,881
UAZ 05272,881
UAZ 05343,983
UAZ 05459,1333
UAZ 05461,1333
UAZ 05479,881
UAZ 05480,881
UAZ 05481,881
UAZ 05482,881
UAZ 05486,881
UAZ 05492,1333
UAZ 05537,983
UAZ 05572,1693
UAZ 05605,881
UAZ 05667,881
UAZ 05790,2339
UAZ 05864,1511
UAZ 05865,1557
UAZ 05879,1511
UAZ 05965,881
UAZ 05974,865
UAZ 05975,881
UAZ 05980,881
UAZ 06057,881
UAZ 06066,871
UAZ 06080,881
UAZ 06100,881
UAZ 06101,881
UAZ 06199,881
UAZ 06234,2068
UAZ 06235,2068
UAZ 06242,2339
UAZ 06394,881
UAZ 06496,881
UAZ 06497,881
UAZ 06498,881
UAZ 06499,881
UAZ 06500,881
UAZ 06501,881
UAZ 06502,881
UAZ 06782,881
UAZ 06799,881
UAZ 06878,881
UAZ 06879,881
UAZ 06905,881
UAZ 06906,881
UAZ 06907,865
UAZ 06908,881
UAZ 06909,881
UAZ 06910,881
UAZ 06915,881
UAZ 07173,2339
UAZ 07420,881
UAZ 07421,881
UAZ 07855,1333
UAZ 07856,1333
UAZ 07879,1333
UAZ 07908,1333
UAZ 07970,881
UAZ 08110,881
UAZ 08111,881
UAZ 08139,881
UAZ 08140,881
UAZ 08655,881
UAZ 08662,881
UAZ 08663,881
UAZ 08671,865
UAZ 08681,881
UAZ 08734,881
UAZ 08741,1333
UAZ 09112,941
UAZ 09113,941
UAZ 09432,881
UAZ 10348,871
UAZ 10493,2134
UAZ 10494,2134
UAZ 10495,2134
UAZ 10496,2134
UAZ 10497,2134
UAZ 10554,2134
UAZ 10555,2134
UAZ 10838,881
UAZ 10839,881
UAZ 10842,2134
UAZ 11432,2134
UAZ 11562,881
UAZ 11563,881
UAZ 12008,881
UAZ 12538,1333
UAZ 12539,1333
UAZ 12762,876
UAZ 13404,881
UAZ 13405,881
UAZ 13788,1333
UAZ 14133,871
UAZ 14134,871
UAZ 14138,881
UAZ 14139,881
UAZ 14231,881
UAZ 14488,881
UAZ 15415,1333
UAZ 15416,1333
UAZ 16877,881
UAZ 16878,881
UAZ 17106,881
UAZ 17447,1333
UAZ 17459,2135
UAZ 17549,2068
UAZ 17551,881
UAZ 17555,1333
UAZ 17556,1333
UAZ 17557,1333
UAZ 17559,881
UAZ 17603,881
UAZ 18112,1584
UAZ 18269,881
UAZ 18911,1333
UAZ 19770,1351
UAZ 20979,881
UAZ 21055,1910
UAZ 22046,2068
UAZ 22827,2068
UAZ 23270,2068
UAZ 24651,865
UAZ 24910,1333
UAZ 25771,1333
UAZ 25775,1333
UAZ 25776,1333
UAZ 25792,1333
UAZ 28197,1351
