locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,institutioncode,catalognumber,minimumelevationinmeters,scientificname,eventdate
"Biota Ranch Stock Pond, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168492,,Pipistrellus hesperus hesperus,10/15/1973
BULLOCK'S RANCH; 4 MI E OF FORT LOWELL,United States,Arizona,Pima,,,,,,,UCLA,903,,Sigmodon arizonae cienegae,1/9/1916
"CATALINA FOOTHILLS, 3 MI W LOWER SABINO CANYON",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:314,,Perognathus amplus,7/31/1961
"Catalina Foothills, 8 Mi N, 0.5 Mi E University Of Arizona Campus",United States,Arizona,Pima County,,,,,,,USNM,313858,,Ammospermophilus harrisii harrisii,10/8/1957
"CATALINA H'WAY, INDIAN HILLS ESTATE, PIMA COUNTY, ARIZONA",United States,Arizona,Pima,,,,,,,ANWC,M02173,,Antrozous pallidus,9/21/1967
"Catalina Mountains, south Slope",United States,Arizona,Pima,,,,,,,CSULB,4236,,Pipistrellus hesperus australis,8/15/1961
"CATALINA MTNS, HITCHCOCK MEMORIAL",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6225,1828.8,Spermophilus variegatus,4/9/1961
"CATALINA MTNS, LOWER MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:109,1188.72,Antrozous pallidus,9/10/1960
"CATALINA MTNS, LOWER MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:711,1219.2,Peromyscus boylii,1/21/1959
"CATALINA MTNS, LOWER MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:712,1219.2,Peromyscus boylii,1/21/1959
"CATALINA MTNS, LOWER MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:713,1219.2,Peromyscus boylii,1/21/1959
"Catalina Mtns, Molina Basin",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6542,1219.2,Sigmodon hispidus,1/21/1959
"CATALINA MTNS, MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6060,1371.6,Myotis auriculus,5/5/1961
"Catalina Mtns, Molino Basin",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6079,1371.6,Myotis leibii,5/5/1961
"CATALINA MTNS, MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6108,1371.6,Myotis volans,5/5/1961
"Catalina Mtns, Molino Basin",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6428,,Myotis keenii,5/5/1961
"CATALINA MTNS, MOLINO BASIN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6062,1371.6,Myotis californicus,5/5/1961
"Catalina Mtns, Molino Basin",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6489,1219.2,Peromyscus boylii,1/21/1959
"CATALINA MTNS, MT LEMMON, UPPER BEAR WALLOW",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:1374,,Tamias dorsalis,8/19/1967
"CATALINA MTNS, SABINO CANYON",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:753,,Pipistrellus hesperus,9/26/1960
"Catalina Mtns, Upper Sabino Canyon",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:4689,,Nyctinomops macrotis,6/8/1961
"CATALINA MTNS, UPPER SABINO CANYON",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:754,,Pipistrellus hesperus,6/16/1961
"CATALINA MTNS, UPPER SABINO CANYON",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:756,,Pipistrellus hesperus,6/16/1961
Catalina Mtns.  Tucson,United States,Arizona,Pima,,,,,,,UBCBBM,M003658,,Spermophilus variegatus grammurus,3/19/1939
"Coronado National Forest, Bear Wallow Campground",United States,Arizona,Pima,,,,,,,MCZ,59525,,Peromyscus boylii rowleyi,1/1/1940
"Coronado National Forest, Bear Wallow Picnic Area",United States,Arizona,Pima,,,,,,,MCZ,59533,,Peromyscus melanotis,3/26/1986
"Coronado National Forest, Bear Wallow Picnic Area",United States,Arizona,Pima,,,,,,,MCZ,59534,,Peromyscus boylii rowleyi,3/26/1986
Coronado National Forest.Santa Catalina Mountains; Tuscon,United States,Arizona,Pima,,,,,,,UCONN,12177,,Peromyscus maniculatus,4-Sep-66
"El Sabino Ranch, South Base of Santa Catalina Mountains",USA,Arizona,Pima,,,,,,,ROM,29964,,Thomomys bottae,1/22/1951
"El Sabino Ranch, South Base of Santa Catalina Mountains",USA,Arizona,Pima,,,,,,,ROM,29965,,Thomomys bottae,1/22/1951
F1 SANTA CATALINA MTS. X COFRE DE PEROTE,United States,Arizona,Pima,,,,,,,TTU,13943,,Peromyscus melanotis,3/21/1972
F1 SANTA CATALINA MTS. X COFRE DE PEROTE,United States,Arizona,Pima,,,,,,,TTU,13944,,Peromyscus melanotis,3/21/1972
F1 SANTA CATALINA MTS. X COFRE DE PEROTE,United States,Arizona,Pima,,,,,,,TTU,13946,,Peromyscus melanotis,3/21/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13923,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13924,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13926,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13927,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13928,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13919,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13920,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13921,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13922,,Peromyscus melanotis,5/30/1972
F1 SANTA CATALINA MTS. X EL SALTO,United States,Arizona,Pima,,,,,,,TTU,13925,,Peromyscus melanotis,5/30/1972
"INDIAN HILLS ESTATE, PIMA COUNTY, ARIZONA",United States,Arizona,Pima,,,,,,,ANWC,M02172,,Antrozous pallidus,9/21/1967
"JUNTA, CATILINA MTS X MEXICO, VERACRUZ, COFRE DE PEROTE",United States,Arizona,Pima,,,,,,,TTU,13945,,Peromyscus melanotis,3/21/1972
"Lower end Sabino Canyon, Santa Catalina Mtms.",United States,Arizona,Pima,,,,,,,ISM,615516,,Eptesicus sp.,7/31/1961
"Palisade Ranger Station, Near Santa Catalina Mountains",USA,Arizona,Pima,,,,,,,ROM,29022,,Peromyscus boylii,2/13/1953
"Palisade Ranger Station, Near Santa Catalina Mountains",USA,Arizona,Pima,,,,,,,ROM,29021,,Peromyscus boylii,2/13/1953
"Reddington Pass, Catalina Mts.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:167534,,Aeorestes cinereus,7/15/1965
"Reddington Pass, Ranch Pond",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168485,,Pipistrellus hesperus hesperus,5/26/1968
SABINE CANYON,United States,Arizona,Pima,,,,,,,TTU,93484,,Nyctinomops femorosaccus,6/22/1960
Sabino Canyon,United States,Arizona,Pima,,,,,,,ISM,615747,,Nyctinomops femorosaccus,1/15/1967
Sabino Canyon,United States,Arizona,Pima County,,,,,,,University of Alberta Museums,M7887,,Peromyscus boylii,10/4/1967
Santa Catalina,United States,Arizona,Pima,,,,,,,ISM,617078,,Otospermophilus variegatus,5/8/1969
"Santa Catalina and Rincon Mountains, top of pass between, along highway, [25 mi ENE of Tucson (see Miller and Kellogg 1955)]",United States,Arizona,Pima County,,,,,,,USNM,262813,1372,Thomomys bottae catalinae,6/5/1937
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1502,,Eptesicus fuscus pallidus,1885-11-01
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1503,,Myotis californicus,1885-11-01
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1505,,Myotis californicus,1885-11-01
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1506,,Eptesicus fuscus pallidus,1885-11-01
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-9526,,Tamias dorsalis dorsalis,1894-01-16
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-9527,,Tamias dorsalis dorsalis,1894-01-16
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1504,,Myotis keenii apache,1885-11-01
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-9525,,Tamias dorsalis dorsalis,1894-01-16
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1499,152,Plecotus,1885-11-25
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1500,152,Plecotus,1885-11-25
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,AMNH,MS-1501,152,Plecotus,1885-11-25
Santa Catalina Mountains,United States,Arizona,Pima,,,,,,,MCZ,52183,,Sciurus aberti,2/12/1953
Santa Catalina Mountains,United States,Arizona,Pima County,,,,,,,USNM,16863,,Neotoma mexicana bullata,1889-06-01
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29010,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29011,,Peromyscus boylii,2/7/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29024,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29008,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29009,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29012,,Peromyscus boylii,2/7/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29013,,Peromyscus boylii,2/7/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29023,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29025,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29026,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Bear Canyon",USA,Arizona,Pima,,,,,,,ROM,29027,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Molina Basin",USA,Arizona,Pima,,,,,,,ROM,29028,,Peromyscus boylii,2/20/1953
"Santa Catalina Mountains, Molina Basin",USA,Arizona,Pima,,,,,,,ROM,29029,,Peromyscus boylii,2/6/1953
"Santa Catalina Mountains, Molina Canyon",USA,Arizona,Pima,,,,,,,ROM,28936,,Peromyscus boylii,2/10/1951
"Santa Catalina Mountains, Soldier Camp",United States,Arizona,Pima,,,,,,,MCZ,46456,2438.4,Eutamias dorsalis dorsalis,9/18/1952
"Santa Catalina Mt., Bear Wallow camp area",United States,Arizona,Pima County,,,,,,,USNM,309012,2438,Sciurus aberti aberti,4/12/1959
"Santa Catalina Mt., Bear Wallow camp area",United States,Arizona,Pima County,,,,,,,USNM,309013,2438,Sciurus aberti aberti,4/2/1959
"SANTA CATALINA MTNS, ~1 MI W SUMMERHAVEN",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6199,,Sciurus aberti,11/5/1958
"SANTA CATALINA MTNS, ~25 MI N TUCSON",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:186,2133.6,Tamias dorsalis,11/11/1961
"SANTA CATALINA MTNS, 0.5 MI NE ENTRANCE SABINA CANYON",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:167,,Spermophilus tereticaudus,8/10/1961
"SANTA CATALINA MTNS, BEAR CANYON PICNIC AREA",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:732,1706.88,Peromyscus boylii,1/21/1959
"SANTA CATALINA MTNS, MT LEMMON SKI LIFT",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:6241,2590.8,Tamias dorsalis,11/2/1958
"Santa Catalina Mts, Mt Lemmon",United States,Arizona,Pima,,,,,,,NCSM,9854,,Tamias dorsalis,3/16/1993
Santa Catalina Mts.,United States,Arizona,Pima,,,,,,,ISM,618137,,Peromyscus eremicus,8/17/1968
Santa Catalina Mts.,United States,Arizona,Pima,,,,,,,ISM,618138,,Peromyscus eremicus,8/17/1968
"Santa Catalinas Hills, 1/4 mile south of Lower Salino Canyon, Tucson",United States,Arizona,Pima,,,,,,,CSULB,4218,,Perognathus amplus taylori,8/7/1961
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima County,,,,,,,USNM,570678,,Myotis volans interior,6/18/1959
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima County,,,,,,,USNM,570635,,Myotis volans interior,6/18/1959
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima County,,,,,,,USNM,570699,,Myotis keenii,6/18/1959
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima County,,,,,,,USNM,570661,,Myotis volans interior,6/18/1959
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima County,,,,,,,USNM,570700,,Myotis keenii,6/18/1959
"Soldiers Camp, Mt. Lemmon",United States,Arizona,Pima County,,,,,,,USNM,570634,,Myotis volans interior,6/18/1959
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19163,2346.96,Tamias dorsalis,6/13/1972
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19165,2346.96,Peromyscus boylii rowleyi,6/14/1972
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19403,2346.96,Peromyscus boylii rowleyi,6/13/1972
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19162,2346.96,Peromyscus maniculatus sonoriensis,6/13/1972
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19164,2346.96,Neotoma mexicana bullata,6/14/1972
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19166,2346.96,Peromyscus boylii rowleyi,6/14/1972
"Spencer Canyon, Santa Catalina Mountains, 7700 ft.",United States,Arizona,Pima County,,,,,,,UCM,UCM:Mamm:19167,2346.96,Peromyscus boylii rowleyi,6/14/1972
"Stone house Tanks, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168488,,Pipistrellus hesperus hesperus,9/30/1973
"Stone house Tanks, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168486,,Pipistrellus hesperus hesperus,9/30/1973
"Stone house Tanks, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168487,,Pipistrellus hesperus hesperus,9/30/1973
"Stone house Tanks, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168489,,Pipistrellus hesperus hesperus,9/30/1973
"Summerhaven, Santa Catalina Mountains",United States,Arizona,Pima County,,,,,,,USNM,244081,2286,Thomomys bottae catalinae,8/6/1923
"T12S, R14E, 12 mi N of Tuscon, elev 5150'",United States,Arizona,Pima,,,,,,,ISM,619438,,Choeronycteris mexicana,6/20/1959
"Tucson, 1 mi SW Sabino Canyon",United States,Arizona,Pima,,,,,,,LSUMZ,10155,,Chaetodipus baileyi,11/27/1959
"Tucson, 10 Mi E, Lower Sabino Camp",United States,Arizona,Pima County,,,,,,,USNM,297664,,Neotoma albigula albigula,1/5/1951
"Tucson, 7.9 miles north and 0.9 miles east of University of Arizona Campus",United States,Arizona,Pima,,,,,,,AMNH,M-184186,,Ammospermophilus harrisii harrisii,1/21/1958
"Tucson, Catolina Foothills",United States,Arizona,Pima,,,,,,,CSULB,4223,,Neotoma albigula albigula,1/3/1962
"Tucson, Rock Canyon",United States,Arizona,Pima County,,,,,,,DMNS,DMNS:Mamm:1580,,Ammospermophilus harrisii harrisii,5/18/1916
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144014,945,Spermophilus variegatus grammurus,5/2/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144015,945,Spermophilus tereticaudus neglectus,5/2/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144002,,Ammospermophilus harrisii harrisii,4/20/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144003,,Spermophilus tereticaudus neglectus,4/19/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144009,945,Bassariscus astutus arizonensis,4/21/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144010,945,Bassariscus astutus arizonensis,4/25/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144011,945,Spilogale putorius,4/21/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144012,945,Spilogale putorius,5/4/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144016,,Neotoma albigula albigula,5/1/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144127,,Spilogale putorius leucoparia,5/14/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144128,,Mephitis mephitis estor,5/3/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144013,945,Spilogale putorius,
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144017,,Peromyscus,5/1/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144018,,Peromyscus,5/4/1945
"Tucson, Sabino Canyon, Santa Catalina Mountains",United States,Arizona,Pima,,,,,,,AMNH,M-144019,,Peromyscus,5/13/1945
"Tucson; Catalina Hwy, 2 mi S Babad Do'ag Viewing Area",United States,Arizona,Pima,,,,,,,LACM,096522,,Lasiurus ega,7/27/2002
Tucson; Sabino Canyon,United States,Arizona,Pima County,,,,,,,UWBM,UWBM:Mamm:76867,,Peromyscus sp.,2/5/1951
"Tuscon, 1 mi SW; Sabino Canyon",United States,Arizona,Pima County,,,,,,,UWBM,UWBM:Mamm:20659,762,Dipodomys merriami,11/27/1959
"Tuscon, Hacianda del Sol Resort",United States,Arizona,Pima,,,,,,,MCZ,62072,,Neotoma albigula albigula,4/1/1996
"University of Arizona, 4.7 Mi N & 6.1 Mi E, On Campus",United States,Arizona,Pima County,,,,,,,USNM,313886,,Neotoma albigula albigula,1/17/1958
